dept,nom,Gazole,SP98,SP95_E10,SP95,lat,lon
02,SARL MARCHAND | Avia,1.604,1.774,1.694,,49.44515,3.9281200000000354
02,INTERMARCHE GUISE | Intermarché,1.389,1.525,1.455,,49.902286,3.637549499999977
02,LECLERC | Leclerc,1.384,1.577,1.484,,49.842507,3.333181999999965
02,RELAIS HIRSON DE GAULLE | Total Access,1.432,1.612,1.5119999999999998,,49.9191803,4.084530699999958
02,Carrefour Contact | Carrefour Contact,1.425,1.649,1.599,,49.7300329,3.2417235000000346
02,Carrefour Market | Carrefour Market,1.419,1.599,,1.569,49.9731941,3.9195852999999934
02,Carrefour Contact | Carrefour Contact,1.469,1.659,,1.629,50.00225,3.6825556999999662
02,CARREFOUR MARKET | Carrefour Market,1.385,1.565,,1.543,49.562555,3.643321000000016
02,ESSO CARNOT LAON | Esso Express,1.3969999999999998,1.567,1.477,,49.56967,3.6224730000000136
02,INTERMARCHE LAON | Intermarché,1.385,,1.525,1.539,49.5827604,3.6433936999999332
02,Aire de tardenois sud | Avia,1.629,1.7990000000000002,1.719,,49.12619,3.5384900000000243
02,carrefour market fresnoy | Carrefour Market,1.41,1.605,,1.579,49.9544368,3.4283302999999705
02,CARREFOUR MARKET | Carrefour Market,1.449,1.609,,1.569,49.43533660000001,3.966563700000052
02,Carrefour Market | Carrefour Market,1.399,1.535,,1.515,49.903822,3.6285422999999364
02,STATION TOTAL LE CLAIR | Total,,,1.4369999999999998,,49.8961895,3.6256280999999713
02,AUCHAN | Auchan,1.435,1.605,1.52,,49.91186219999999,4.09169959999997
02,SODHIRS | Leclerc,1.4409999999999998,1.619,1.523,,49.916332,4.077552999999966
02,Station AVIA | Avia,1.604,1.774,1.694,,49.4509445,3.9250144999999748
02,Carrefour Contact | Carrefour Contact,1.425,1.649,,1.629,49.6610871,3.374035400000025
02,Carrefour Laon | Carrefour,1.379,1.561,,1.539,49.5489848,3.613476999999989
02,Carrefour Market Christ | Carrefour Market,1.409,1.6569999999999998,1.449,1.599,49.5703545,3.608634299999949
02,GARAGE EUROPE AUTO | Total,1.519,1.692,1.582,,49.5689892,3.645898100000069
02,Carrefour Market | Carrefour Market,1.469,1.659,,1.639,50.01199099999999,3.7808380000000175
02,Carrefour Market | Carrefour Market,1.429,1.589,,1.569,49.743014,3.7739060000000113
02,Carrefour Market | Carrefour Market,1.399,1.605,,1.493,49.382272,3.2797138999999333
02,LECLERC | Leclerc,1.384,1.577,1.484,,49.8210922,3.3111662000000024
02,ALLART | Total,1.57,1.71,1.63,,49.1983451,3.360393599999952
02,PARADIS SERVICE SA | Indépendant sans enseigne,1.57,1.7,1.64,,49.400399,3.114179100000001
02,INTERMARCHE CONTACT | Intermarché Contact,1.47,1.615,,1.589,49.7042137,4.110980100000006
02,AUCHAN | Auchan,1.416,1.588,1.505,,49.8414929,3.269523400000025
02,DM Combustibles | Indépendant sans enseigne,1.42,1.63,,1.6,49.8423534,3.2836284999999634
02,INTERMARCHE 153 Rue de Mulhouse | Intermarché,1.399,1.624,,1.544,49.84809979999999,3.3010746999999583
02,POREZ AUTO LOCA STATION | Total Access,1.419,1.609,1.504,,49.8489797,3.2706862
02,SARL MAROLEG | Netto,1.457,1.605,,1.568,49.8279208,3.3088166
02,ESSO SOISSONS | Esso Express,1.389,1.618,1.4980000000000002,,49.386456,3.33309399999996
02,Carrefour Market | Carrefour Market,1.399,1.578,,1.548,49.6878706,4.023929199999999
02,GHEKIERE | Total,1.507,1.712,1.602,,49.75158949999999,3.775253900000053
02,RELAIS MAUPAS | Total,1.5019999999999998,1.685,1.575,,49.3847333,3.2548434999999927
02,Origny | Indépendant sans enseigne,1.449,1.619,,1.589,49.8363855,3.4955153999999307
02,CARREFOUR MARKET | Carrefour Market,1.399,1.579,,1.539,49.4983254,3.450498799999991
02,INTERMARCHE RIBEMONT | Intermarché,1.389,,1.479,1.529,49.801659,3.4660516000000143
02,INTERMARCHE SAINT-ERME | Intermarché,1.385,1.578,1.499,,49.5320393,3.857033499999943
02,CORA | CORA,1.398,1.587,1.501,1.544,49.866709,3.2908250000000407
02,ESSO FAIDHERBE | Esso Express,1.4280000000000002,1.628,1.509,,49.84392,3.2790210000000566
02,INTERMARCHE SAINT-QUENTIN /ZAC | Intermarché,1.419,,1.505,1.545,49.8533035,3.2607067000000143
